"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Feb-2021","EQ","28.45","28.70","28.15","28.00","28.45","28.40","28.43","41.70","11.90",5030801,"143,029,158.25",5036
"01-Feb-2021","EQ","28.20","28.30","27.75","28.00","28.20","28.00","27.98","41.70","11.90",6493160,"181,659,746.60",6871
"29-Jan-2021","EQ","28.75","29.05","27.75","28.40","28.15","28.00","28.38","41.70","11.90",5360900,"152,156,852.80",7303
"28-Jan-2021","EQ","28.55","29.50","28.05","29.00","28.40","28.40","28.70","41.70","11.90",5041175,"144,695,974.10",6538
"27-Jan-2021","EQ","29.00","29.40","28.50","29.10","28.75","29.00","29.11","41.70","11.90",4430789,"128,985,874.65",6081
"25-Jan-2021","EQ","29.80","29.95","29.05","29.30","29.20","29.10","29.39","41.70","11.90",4176089,"122,730,908.95",7942
"22-Jan-2021","EQ","30.50","30.65","29.15","30.40","29.35","29.30","29.73","41.70","11.90",7596415,"225,851,309.50",11624
"21-Jan-2021","EQ","31.40","32.00","30.20","31.15","30.50","30.40","31.27","41.70","11.90",11045987,"345,449,428.00",9340
"20-Jan-2021","EQ","32.45","33.00","31.00","31.65","31.15","31.15","31.87","41.70","11.90",14612529,"465,632,265.55",16650
"19-Jan-2021","EQ","30.95","32.25","30.95","30.65","31.55","31.65","31.76","41.70","11.90",14087663,"447,436,858.45",16539
"18-Jan-2021","EQ","31.25","31.50","30.40","31.20","30.80","30.65","30.82","41.70","11.90",5849794,"180,266,658.90",6859
"15-Jan-2021","EQ","32.00","32.30","31.00","32.00","31.30","31.20","31.52","41.70","11.90",5965767,"188,026,789.25",8366
"14-Jan-2021","EQ","32.00","32.70","31.50","32.15","32.00","32.00","32.12","41.70","11.90",6628571,"212,877,767.60",8883
"13-Jan-2021","EQ","33.35","33.45","31.35","33.00","32.10","32.15","32.57","41.70","11.90",12329603,"401,584,905.05",16229
"12-Jan-2021","EQ","31.40","33.25","31.05","31.30","32.95","33.00","32.56","41.70","11.90",25148728,"818,818,755.95",30542
"11-Jan-2021","EQ","31.70","32.20","30.70","31.45","31.40","31.30","31.43","41.70","11.90",6448434,"202,679,950.30",8242
"08-Jan-2021","EQ","30.60","32.10","30.50","30.45","31.40","31.45","31.46","41.70","11.90",14083889,"443,145,351.00",18010
"07-Jan-2021","EQ","30.90","31.15","30.35","30.55","30.45","30.45","30.63","41.70","11.90",4355546,"133,430,218.15",6451
"06-Jan-2021","EQ","30.90","31.40","30.20","30.90","30.60","30.55","30.94","41.70","11.90",5389097,"166,752,712.10",7090
"05-Jan-2021","EQ","30.95","31.20","30.75","31.25","30.95","30.90","30.96","41.70","11.90",2976713,"92,166,518.95",4900
"04-Jan-2021","EQ","31.40","31.80","30.95","31.10","31.20","31.25","31.31","41.70","11.90",3908839,"122,375,396.50",5521
"01-Jan-2021","EQ","31.00","31.70","30.90","30.90","31.15","31.10","31.25","41.70","11.90",3207185,"100,225,988.50",6205
"31-Dec-2020","EQ","31.00","31.35","30.85","31.05","30.90","30.90","31.01","41.70","11.90",2118985,"65,710,578.60",3477
"30-Dec-2020","EQ","31.10","31.40","30.85","31.05","31.00","31.05","31.07","41.70","11.90",2522532,"78,369,374.65",3802
"29-Dec-2020","EQ","31.65","31.80","30.85","31.50","31.10","31.05","31.23","41.70","11.90",2562715,"80,033,215.75",4502
"28-Dec-2020","EQ","31.40","31.90","31.10","31.15","31.50","31.50","31.40","41.70","11.90",2754194,"86,478,532.60",4452
"24-Dec-2020","EQ","31.40","32.20","31.00","30.85","31.15","31.15","31.60","41.70","11.90",5899026,"186,427,151.45",8429
"23-Dec-2020","EQ","30.55","31.15","30.20","30.40","31.05","30.85","30.76","41.70","11.90",3910525,"120,298,465.20",5989
"22-Dec-2020","EQ","30.00","30.60","28.90","29.95","30.50","30.40","29.83","41.70","11.90",5418966,"161,646,364.55",8803
"21-Dec-2020","EQ","32.30","32.50","29.75","32.15","29.95","29.95","30.89","41.70","11.90",8607145,"265,867,812.65",13387
"18-Dec-2020","EQ","32.40","32.60","31.05","32.15","32.20","32.15","31.99","41.70","11.90",7508410,"240,163,981.10",11370
"17-Dec-2020","EQ","33.20","34.15","32.00","33.05","32.10","32.15","33.22","41.70","11.90",18253384,"606,401,296.95",25674
"16-Dec-2020","EQ","31.30","33.30","31.30","31.20","33.05","33.05","32.57","41.70","11.90",21729618,"707,651,575.95",23460
"15-Dec-2020","EQ","31.90","31.90","30.65","31.60","31.20","31.20","31.14","41.70","11.90",3926350,"122,278,196.05",5842
"14-Dec-2020","EQ","31.40","32.10","31.10","31.20","31.55","31.60","31.52","41.70","11.90",3795873,"119,634,027.95",7472
"11-Dec-2020","EQ","31.00","32.10","30.85","30.80","31.20","31.20","31.48","41.70","11.90",5734114,"180,489,076.30",9083
"10-Dec-2020","EQ","31.60","31.65","30.70","31.60","30.95","30.80","30.99","41.70","11.90",4690700,"145,341,511.50",6371
"09-Dec-2020","EQ","32.05","32.45","31.30","31.75","31.65","31.60","31.80","41.70","11.90",6745403,"214,518,215.75",11575
"08-Dec-2020","EQ","33.30","33.50","31.40","33.00","31.70","31.75","32.45","41.70","11.90",10092548,"327,534,630.00",12811
"07-Dec-2020","EQ","32.90","33.40","32.10","32.70","32.95","33.00","32.92","41.70","11.90",9541804,"314,084,646.35",14169
"04-Dec-2020","EQ","33.70","34.10","31.75","33.45","32.65","32.70","33.02","41.70","11.90",8029659,"265,168,046.75",11762
"03-Dec-2020","EQ","32.45","33.85","31.60","32.10","33.80","33.45","32.84","41.70","11.90",10981802,"360,676,264.30",13752
"02-Dec-2020","EQ","31.65","32.60","31.25","31.45","32.10","32.10","32.10","41.70","11.90",11040742,"354,363,478.60",14900
"01-Dec-2020","EQ","29.55","32.10","29.20","29.70","31.65","31.45","30.91","41.70","11.90",18375515,"567,939,170.55",17025
"27-Nov-2020","EQ","29.70","30.40","29.40","29.50","29.65","29.70","29.87","41.70","11.90",3991507,"119,223,141.60",5367
"26-Nov-2020","EQ","29.35","30.00","29.10","29.30","29.50","29.50","29.49","41.70","11.90",2613182,"77,052,820.10",3978
"25-Nov-2020","EQ","30.05","30.45","29.20","29.95","29.35","29.30","29.77","41.70","11.90",3862646,"114,981,521.45",4689
"24-Nov-2020","EQ","30.50","30.65","29.80","30.40","29.90","29.95","30.06","41.70","11.90",3343217,"100,502,641.45",5046
"23-Nov-2020","EQ","30.30","30.80","29.55","30.05","30.40","30.40","30.28","41.70","11.90",7158040,"216,764,048.45",8410
"20-Nov-2020","EQ","30.95","31.70","29.65","31.00","29.90","30.05","30.88","41.70","11.90",13566403,"418,869,517.95",14795
"19-Nov-2020","EQ","28.90","31.55","28.75","29.15","30.65","31.00","30.58","41.70","11.90",16908124,"517,057,233.75",19141
"18-Nov-2020","EQ","28.55","29.90","28.35","28.50","29.15","29.15","29.14","41.70","11.90",8160329,"237,817,669.90",10424
"17-Nov-2020","EQ","29.05","29.25","28.25","28.95","28.50","28.50","28.68","41.70","11.90",2847373,"81,659,281.55",3968
"14-Nov-2020","EQ","29.10","29.10","28.85","28.90","28.90","28.95","28.97","41.70","11.90",1112592,"32,226,724.35",2422
"13-Nov-2020","EQ","28.15","29.25","27.95","28.15","28.70","28.90","28.54","41.70","11.90",4526512,"129,165,284.50",5337
"12-Nov-2020","EQ","28.15","28.75","27.85","27.80","28.10","28.15","28.19","41.70","11.90",3515377,"99,108,493.30",5216
"11-Nov-2020","EQ","27.70","28.10","27.60","27.65","27.85","27.80","27.81","41.70","11.90",1777053,"49,427,890.05",2989
"10-Nov-2020","EQ","27.75","28.25","27.25","27.60","27.65","27.65","27.83","41.70","11.90",3679466,"102,416,999.85",3772
"09-Nov-2020","EQ","28.10","28.20","27.50","27.95","27.60","27.60","27.76","41.70","11.90",2795980,"77,609,671.45",4308
"06-Nov-2020","EQ","28.25","28.60","27.80","28.10","27.85","27.95","28.07","41.70","11.90",2220570,"62,334,691.80",3650
"05-Nov-2020","EQ","28.30","28.40","27.90","28.05","28.00","28.10","28.11","41.70","11.90",1379539,"38,776,330.25",4866
"04-Nov-2020","EQ","28.05","28.30","27.65","27.95","28.10","28.05","27.97","41.70","11.90",1597529,"44,686,359.55",2536
"03-Nov-2020","EQ","28.20","28.45","27.90","27.95","28.10","27.95","28.06","41.70","11.90",1524913,"42,791,123.50",4158
"02-Nov-2020","EQ","29.05","29.25","27.85","28.75","28.00","27.95","28.29","41.70","11.90",2832616,"80,148,185.10",5630
"30-Oct-2020","EQ","29.15","29.50","28.20","29.15","28.80","28.75","28.69","41.70","11.90",3053001,"87,597,913.75",6277
"29-Oct-2020","EQ","29.60","29.60","28.80","30.00","29.15","29.15","29.12","41.70","11.90",2036435,"59,307,781.35",5511
"28-Oct-2020","EQ","31.15","31.20","29.60","29.60","29.70","30.00","30.37","41.70","11.90",5964915,"181,148,735.30",13147
"27-Oct-2020","EQ","29.95","30.15","29.30","29.75","29.50","29.60","29.72","41.70","11.90",1683969,"50,054,895.05",3774
"26-Oct-2020","EQ","30.05","30.75","29.30","30.05","29.90","29.75","30.01","41.70","11.90",2867493,"86,062,296.10",5932
"23-Oct-2020","EQ","29.45","30.65","29.35","29.20","30.15","30.05","30.09","41.70","11.90",4439665,"133,581,397.55",11299
"22-Oct-2020","EQ","27.80","29.65","27.65","27.85","29.30","29.20","28.97","41.70","11.90",5439353,"157,601,725.25",8997
"21-Oct-2020","EQ","28.10","28.65","27.25","27.80","27.80","27.85","28.00","41.70","11.90",4269177,"119,520,606.85",6790
"20-Oct-2020","EQ","27.80","28.60","27.75","27.85","27.85","27.80","28.10","41.70","11.90",2607198,"73,258,547.40",4136
"19-Oct-2020","EQ","28.55","29.05","27.70","28.55","27.80","27.85","28.30","41.70","11.90",4175863,"118,161,330.90",7296
"16-Oct-2020","EQ","28.85","29.30","28.25","28.85","28.75","28.55","28.67","41.70","11.90",3696340,"105,992,151.80",5968
"15-Oct-2020","EQ","29.65","29.85","28.75","29.60","28.90","28.85","29.15","41.70","11.90",1991430,"58,055,647.10",3957
"14-Oct-2020","EQ","29.75","30.00","29.15","29.90","29.50","29.60","29.51","41.70","11.90",2015674,"59,485,020.50",4067
